Incident_ID,Date_Incident,Region,Department_Affected,Asset_Type,Incident_Type,Severity,Priority,Detection_Source,Status,Time_to_Detect_min,Time_to_Contain_min,Time_to_Resolve_min,Business_Impact,Downtime_min,Estimated_Cost_EUR,Root_Cause,Data_Sensitivity,SLA_Breached,Analyst
INC-20240001,2024-12-02 05:04:49,Luxembourg,Procurement,Server,Unauthorized Access,  Low  ,P4 - Low,,In Progress,204 min,78,495,Minor,39 min,336,Weak Password,Public,Yes,A. Weber
INC-20240002,2025-06-21 08:01:33,Germany,Sales,Workstation,Unauthorized Access,High,P2 - High,Threat Intel,Resolved,1606,1443,4153,Moderate,-887,33999,Insider Error,Internal,No,L. Müller
INC-20240003,2024-07-26 13:04:12,France,Sales,Workstation,Lost/Stolen Device,Medium,  P3 - Medium  ,Audit,In Progress,175,207,479,None,0,2479,,Restricted,No,E. Bernard
INC-20240004,2024-10-31 02:31:56,Luxembourg,Operations,  Email Account  ,Misconfiguration,Medium,P3 - Medium,SIEM,Resolved,207,79,534,Moderate,170,887,Lost/Stolen,,No,C. Schmidt
INC-20240005,2024-06-30 22:10:40,Belgium,Procurement,Cloud Service,Phishing,Low,P4 - Low,User Report,In Progress,97,34,676,Moderate,166,374,Social Engineering,Restricted,No,L. Müller
INC-20240006,2024-12-08 01:10:07,France,R&D,Email Account,Data Exfiltration,Critical,critical (P1),SIEM,Eradicated,1710,1425,8003,Moderate,2555 min,105884,  Third-Party Supplier  ,Confidential,No,J. Becker
INC-20240007,2025-01-14 05:05:01,  Belgium  ,Procurement,Email Account,  Malware  ,Critical,P1 - Critical,Audit,Resolved,566,622,2007,Minor,155,102816,Third-Party Supplier,Internal,Yes,S. Rossi
INC-20240008,2024-08-08 05:33:53,Belgium,R&D,Server,Ransomware,  Medium  ,P3 - Medium,EDR,Eradicated,1006,543,-692,None,0,6160 EUR,,Internal,No,A. Weber
INC-20240009,2025-01-16 23:20:12,France,  Finance  ,Email Account,  Data Exfiltration  ,Medium,P3 - Medium,EDR,Contained,366,516,2915,Moderate,658,3042,Weak Password,Restricted,No,E. Bernard
INC-20240010,04/08/2024 22:45,France,Procurement,Cloud Service,Lost/Stolen Device,High,p2-high,User Report,Eradicated,565,373,1322,Minor,123,8444,Unpatched Vulnerability,Internal,,A. Weber
INC-20240011,2025-04-24 11:11:46,Belgium,IT,Cloud Service,Unauthorised Access,High,P2 - High,Email Gateway,  Resolved  ,447,684,1982,None,0,26936,,Confidential,No,S. Rossi
INC-20240012,2025-01-14 19:12:43,Germany,Operations,Cloud Service,Phising,  Medium  ,P3 - Medium,Audit,Eradicated,106,115,935,Minor,-65,€ 2745,Insider Error,,  No  ,J. Becker
INC-20240013,2024-12-09 21:25:28,Belgium,IT,Server,Phishing,Low,P4 - Low,Audit,Resolved,163,86,130,Minor,15,429,Unpatched Vulnerability,  Public  ,Yes,C. Schmidt
INC-20240014,2024-11-23 19:37:58,Belgium,Facilities,Cloud Service,Phishing,Low,P4 - Low,Threat Intel,In Progress,124,55,251,Moderate,66,263 EUR,Misconfiguration,,Yes,N. Laurent
INC-20240015,2024-06-12 23:47:29,Luxembourg,IT,  Database  ,Mal-ware,Medium,P3 - Medium,,Eradicated,431,461,896,Moderate,207,3775,Lost/Stolen,Public,Yes,J. Becker
INC-20240016,2024-07-04 16:08:02,Luxembourg,IT,Workstation,  Phishing  ,Low,P4 - Low,SIEM,Resolved,161,64,543,Minor,63,358,Lost/Stolen,,,J. Becker
INC-20240017,2025-05-11 00:04:42,Germany,Sales,Application,Phising,Low,P4 - Low,IDS/IPS,In Progress,30,65,182,None,0,364,Insider Error,Restricted,No,J. Becker
INC-20240018,2024-06-19 11:25:04,Luxembourg,IT,Application,Phishing,Low,P4 - Low,Email Gateway,Resolved,172,87,481,Major,273,516,Third-Party Supplier,Internal,  No  ,M. Dupont
INC-20240019,2024-12-14 14:42:03,Luxembourg,Operations,Workstation,Misconfig,Low,P4 - Low,Email Gateway,Contained,55,-29,266,None,0,€ 161,Insider Error,Internal,No,E. Bernard
INC-20240020,2025-05-28 04:45:54,France,Facilities,Mobile Device,Phishing,  Medium  ,p3-medium,,Resolved,246,170,1158,Minor,137,2974,Weak Password,Internal,  No  ,M. Dupont
INC-20240021,2025-04-10 02:30:16,Belgium,Legal,Email Account,Phishing,Low,  P4 - Low  ,User Report,In Progress,81,45,170,Minor,20,563,,Confidential,No,A. Weber
INC-20240022,2024-08-02 04:53:21,France,Finance,Server,Unauthorized  Access,High,P2 High,  Audit  ,Resolved,673,909,3152,Major,-1797,14 257,Social Engineering,Internal,Yes,C. Schmidt
INC-20240023,2025-08-31 09:08:34,Luxembourg,Finance,Database,Phishing,Medium,p3-medium,Threat Intel,Eradicated,188,108,588,Minor,59,2454,Weak Password,Internal,Yes,E. Bernard
INC-20240024,2024-04-27 04:04:23,  Luxembourg  ,HR,Workstation,  Phishing  ,Low,P4 - Low,Threat Intel,Eradicated,165,79,-268,Moderate,102,223,Third-Party Supplier,Public,Yes,E. Bernard
